t,pos_x,vel_x,pos_y,vel_y,pos_z,vel_z,meas_ax,meas_ay,meas_az
0,0,0,0,0,0,0,9.7674,-0.0344686,-0.0359997
0.095,0,0,0,0,0,0,9.51846,-0.0727668,0.00229839
0.194,0,0,0,0,0,0,9.8823,0.0804262,-0.265789
0.294,0,0,0,0,0,0,9.51846,-0.245109,-0.380684
0.389,0,0,0,0,0,0,9.55675,-0.111065,-0.0359997
0.49,0,0,0,0,0,0,9.7674,-0.398302,-0.495579
0.587,0,0,0,0,0,0,9.67165,-0.245109,-0.495579
0.685,0,0,0,0,0,0,9.67165,-0.0344686,-0.342386
0.78,0,0,0,0,0,0,9.67165,0.042128,-0.304087
0.88,0,0,0,0,0,0,9.51846,-0.168512,-0.418982
0.976,0,0,0,0,0,0,9.63335,-0.20681,0.00229839
1.075,0,0,0,0,0,0,9.63335,-0.111065,-0.380684
1.175,0,0,0,0,0,0,9.51846,-0.321705,-0.227491
1.27,0,0,0,0,0,0,9.51846,-0.4366,-0.112596
1.37,0,0,0,0,0,0,15.4547,-0.187661,1.95551
1.47,0,0,0,0,0,0,66.5253,-1.12597,-1.64453
1.57,0,0,0,0,0,0,63.4041,-0.245109,-1.45304
1.664,0,0,0,0,0,0,66.5062,1.84214,3.33424
1.765,0,0,0,0,0,0,70.3935,0.0804262,1.68742
1.86,0,0,0,0,0,0,76.7893,-1.643,1.68742
1.96,0,0,0,0,0,0,83.6639,-0.589793,0.0788949
2.056,0,0,0,0,0,0,92.3959,-0.360003,1.57252
2.15,0,0,0,0,0,0,100.151,2.07193,1.45763
2.25,0,0,0,0,0,0,105.149,3.87195,-0.706219
2.345,0,0,0,0,0,0,106.968,11.8763,-2.3339
2.44,0,0,0,0,0,0,113.057,16.6253,-3.82753
2.538,0,0,0,0,0,0,114.801,13.504,-2.92752
2.636,0,0,0,0,0,0,118.802,6.84006,0.232088
2.735,0,0,0,0,0,0,124.911,2.30172,1.53423
2.829,0,0,0,0,0,0,132.035,-2.17917,-1.68283
2.925,0,0,0,0,0,0,131.365,-6.56432,-5.05307
3.02,0,0,0,0,0,0,131.23,-3.59621,0.787412
3.115,0,0,0,0,0,0,128.607,4.48472,2.56828
3.212,0,0,0,0,0,0,130.177,7.1273,-0.0742981
3.31,0,0,0,0,0,0,101.147,8.69753,-2.02751
3.405,0,0,0,0,0,0,94.6746,2.87619,-4.07647
